@relation blinks1
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute clase {0, 1, 2}
@data
0.00017068,0.0062297,0.0079365,0.020993,0.021932,0.021505,0.059993,0.086534,0.181,0.26114,0.11538,0.060932,0.038146,0.029613,0.023554,0.020737,0.015702,0.013569,0.0091313,0.005803,0,0.00085339,0.0094726,0.017409,0.041645,0.05547,0.085851,0.13159,0.27752,0.16163,0.077317,0.043011,0.02893,0.024919,0.018263,0.013569,0.0088752,0.0036696,0,0,0,0.00017068,0.0035842,0.013996,0.054531,0.074586,0.090715,0.15412,0.25969,0.17418,0.064943,0.038573,0.024236,0.019884,0.012289,0.0084485,0.0060591,0,0,0,0
8.5339e-05,0.0059737,0.0079365,0.021591,0.022615,0.020823,0.058884,0.087984,0.17691,0.266,0.11606,0.05931,0.037293,0.030637,0.023127,0.020396,0.016129,0.013313,0.0089606,0.0059737,0,0.00068271,0.0090459,0.017921,0.042072,0.053422,0.087643,0.12758,0.2823,0.16052,0.077914,0.042413,0.028588,0.02509,0.018775,0.013057,0.01007,0.0029015,0,0,0,0,0.0016214,0.017324,0.051203,0.076549,0.089606,0.15395,0.26284,0.16718,0.069636,0.038914,0.024834,0.019372,0.012459,0.0083632,0.0061444,0,0,0,0
8.5339e-05,0.0058884,0.0082779,0.021505,0.022871,0.020993,0.056409,0.088496,0.17964,0.26489,0.11666,0.059993,0.035245,0.030637,0.023127,0.020737,0.017409,0.012545,0.0087046,0.0058884,0,0.00076805,0.0093873,0.018092,0.040195,0.05658,0.087387,0.1298,0.2817,0.15899,0.076293,0.043096,0.027479,0.026114,0.018433,0.013142,0.009814,0.0027308,0,0,0,0,0.0016214,0.016726,0.054019,0.072965,0.093787,0.14277,0.27308,0.17264,0.062383,0.038488,0.024834,0.019628,0.012886,0.0085339,0.0056324,0,0,0,0
0,0.0059737,0.0084485,0.022188,0.021335,0.019628,0.05803,0.088155,0.18058,0.26242,0.11726,0.059054,0.03644,0.030722,0.024407,0.02014,0.017409,0.01263,0.0096433,0.005547,0,0.00093873,0.0090459,0.019116,0.040621,0.053081,0.08935,0.12903,0.28076,0.15771,0.078682,0.042072,0.029357,0.025431,0.018945,0.012971,0.0097286,0.0031575,0,0,0,0,0.0014508,0.017324,0.054617,0.070746,0.092934,0.14704,0.26984,0.16897,0.06682,0.037549,0.025175,0.019372,0.013996,0.0087046,0.0054617,0,0,0,0
0.00042867,0.0039438,0.008059,0.021605,0.021862,0.019204,0.056499,0.090878,0.17533,0.2644,0.12586,0.057785,0.034722,0.031722,0.022977,0.020319,0.01689,0.013717,0.0087449,0.0050583,0,0.0012003,0.0072016,0.018604,0.039781,0.051097,0.084962,0.13263,0.28232,0.16667,0.073302,0.043038,0.028292,0.02632,0.018519,0.013889,0.0091735,0.0030007,0,0,0,0,0.0036866,0.011746,0.05547,0.069444,0.088477,0.16118,0.26397,0.17395,0.062414,0.03618,0.024691,0.019805,0.01466,0.009345,0.0049726,0,0,0,0
0,0.003858,0.0079733,0.019805,0.022377,0.020662,0.054612,0.088906,0.17816,0.26175,0.12457,0.060871,0.036951,0.031121,0.023491,0.020147,0.016461,0.013975,0.0079733,0.0063443,0,0.00068587,0.0078875,0.01929,0.039781,0.05024,0.083505,0.13314,0.27692,0.16821,0.078532,0.043038,0.028635,0.027092,0.017233,0.01346,0.0087449,0.0036008,0,0,0,0,0.0033436,0.015432,0.055898,0.063786,0.084962,0.15809,0.26603,0.17901,0.062414,0.037809,0.023405,0.02049,0.014575,0.0094307,0.0053155,0,0,0,0
0,0.0030864,0.0085734,0.019033,0.02392,0.020919,0.053155,0.089163,0.18167,0.25892,0.12474,0.065329,0.032064,0.031893,0.022634,0.019376,0.016804,0.013374,0.009345,0.0060014,0,0.0005144,0.0078875,0.019119,0.040381,0.049383,0.083591,0.1346,0.27726,0.16658,0.078961,0.042095,0.028978,0.025377,0.017918,0.01466,0.0099451,0.0027435,0,0,0,0,0.0018004,0.015604,0.05727,0.062843,0.086677,0.16264,0.25995,0.17747,0.065243,0.039438,0.023834,0.018947,0.014232,0.0090021,0.0050583,0,0,0,0
0.0002572,0.0032579,0.0074588,0.020833,0.02332,0.019805,0.053069,0.088649,0.18176,0.26243,0.12277,0.066101,0.033179,0.030693,0.022034,0.019719,0.015346,0.014232,0.0085734,0.0065158,0,0.00085734,0.0069444,0.020319,0.038923,0.049726,0.082819,0.13495,0.27949,0.16401,0.080761,0.044496,0.027692,0.025206,0.016804,0.014232,0.0095165,0.0032579,0,0,0,0.0002572,0.002572,0.012946,0.060442,0.062329,0.084791,0.15741,0.26843,0.17241,0.068158,0.039009,0.024263,0.019204,0.013203,0.0092593,0.0053155,0,0,0,0
0,0,0,0.0034294,0.013117,0.018261,0.054612,0.097651,0.20662,0.24571,0.14515,0.066958,0.03215,0.030093,0.021691,0.020233,0.015689,0.01346,0.0090021,0.0061728,0,0,0,0.006773,0.024091,0.041924,0.10862,0.15046,0.25712,0.19162,0.079818,0.04261,0.026835,0.02572,0.017747,0.013889,0.010545,0.0022291,0,0,0,0,0.00017147,0.0085734,0.033608,0.058128,0.11171,0.16572,0.25626,0.18613,0.073388,0.035237,0.023577,0.019119,0.014403,0.0094307,0.0044582,8.5734e-05,0,0,0
0,0,0.00034294,0.0007716,0.0034294,0.016632,0.067987,0.088306,0.17052,0.25309,0.17275,0.081019,0.029235,0.029407,0.021776,0.01929,0.016804,0.013803,0.0089163,0.0059156,0,0.00034294,0.00085734,0.0036866,0.015947,0.062414,0.085305,0.1244,0.2548,0.20825,0.10588,0.038752,0.029235,0.026749,0.016118,0.015346,0.010031,0.0018861,0,0,0,0.00068587,0.0018004,0.0071159,0.030007,0.066787,0.087877,0.14858,0.24949,0.22368,0.078618,0.034979,0.024606,0.017575,0.01406,0.0088306,0.0046296,0.00068587,0,0,1
